action
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.0]"
"[0.0, 0.011658070608973503]"
"[0.0, 0.004943998530507088]"
"[0.0, -0.020783105865120888]"
"[0.0, -0.025818658992648125]"
"[0.0, -0.02694784477353096]"
"[0.0, -0.02694784477353096]"
"[0.0, -0.02945036254823208]"
"[0.0, -0.037537768483161926]"
"[0.0, -0.08413953334093094]"
"[-0.30692464113235474, -0.40806299448013306]"
"[-0.3261207938194275, -0.5101473927497864]"
"[-0.3271279036998749, -0.5906857252120972]"
"[-0.3034760653972626, -0.69484543800354]"
"[-0.21304970979690552, -0.8198187351226807]"
"[-0.11816766858100891, -1.0]"
"[0.0, -1.0]"
"[0.0, -1.0]"
"[0.0, -1.0]"
"[0.0, -1.0]"
"[0.0, -1.0]"
"[0.0, -1.0]"
"[0.32874539494514465, -1.0]"
"[0.4063539505004883, -0.9751579165458679]"
"[0.5057832598686218, -0.9375286102294922]"
"[0.599444568157196, -0.8895534873008728]"
"[0.6606036424636841, -0.8517105579376221]"
"[0.6885891556739807, -0.8340098261833191]"
"[0.7242347598075867, -0.8144474625587463]"
"[0.7564012408256531, -0.7891476154327393]"
"[0.7790459990501404, -0.7512436509132385]"
"[0.7999206781387329, -0.7170323729515076]"
"[0.8211615085601807, -0.6896267533302307]"
"[0.844294548034668, -0.6580401062965393]"
"[0.8552812337875366, -0.6418653130531311]"
"[0.8587603569030762, -0.6367992162704468]"
"[0.8603472709655762, -0.633838951587677]"
"[0.8603472709655762, -0.633838951587677]"
"[0.8603472709655762, -0.633838951587677]"
"[0.8423108458518982, -0.6507156491279602]"
"[0.8352000713348389, -0.6581011414527893]"
"[0.8316904306411743, -0.6612445712089539]"
"[0.8303475975990295, -0.6555986404418945]"
"[0.8161259889602661, -0.6262398362159729]"
"[0.7853327989578247, -0.5533615946769714]"
"[0.7242957949638367, -0.4591814875602722]"
"[0.6063722372055054, -0.3553880453109741]"
"[0.27231666445732117, -0.24045532941818237]"
"[0.0, -0.10367137938737869]"
"[0.0, -0.02938932552933693]"
"[0.0, -0.025940733030438423]"
"[0.0, -0.024140141904354095]"
"[0.0, -0.02294991910457611]"
"[0.0, -0.02294991910457611]"
"[0.0, -0.02294991910457611]"
