action
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.02710043638944626]"
"[0.0, -0.010223700664937496]"
"[0.0, 0.013214514590799809]"
"[0.0, 0.018799401819705963]"
"[0.0, 0.018799401819705963]"
"[0.0, 0.013336588628590107]"
"[0.0, 0.006439405493438244]"
"[0.0, 0.0037842951714992523]"
"[0.0, 0.009399700909852982]"
"[0.0, 0.016418958082795143]"
"[0.0, 0.017609180882573128]"
"[0.0, 0.017609180882573128]"
"[0.0, 0.017609180882573128]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.019348734989762306]"
"[0.0, 0.012268440797924995]"
"[0.0, 0.005615405738353729]"
"[0.0, 0.0026551103219389915]"
"[0.0, 0.0026551103219389915]"
"[0.0, 0.0026551103219389915]"
"[0.0, 0.0012512588873505592]"
"[0.0, -0.0004882961511611938]"
"[0.0, -0.0017700735479593277]"
"[0.0, -0.0017700735479593277]"
"[0.0, -0.007507553324103355]"
"[0.1263161152601242, -0.027436140924692154]"
"[0.14172795414924622, -0.06723227351903915]"
"[0.21097445487976074, -0.1821039468050003]"
"[0.27234718203544617, -0.3075655400753021]"
"[0.33692434430122375, -0.38459426164627075]"
"[0.4278084635734558, -0.44178593158721924]"
"[0.5828424692153931, -0.504409909248352]"
"[0.7243568301200867, -0.5405743718147278]"
"[0.8037965297698975, -0.5551011562347412]"
"[0.8384349942207336, -0.5597400069236755]"
"[0.8666646480560303, -0.5614184737205505]"
"[0.8831446170806885, -0.5614184737205505]"
"[0.8897366523742676, -0.5614184737205505]"
"[0.8923612236976624, -0.5614184737205505]"
"[0.8923612236976624, -0.5614184737205505]"
"[0.8923612236976624, -0.5614184737205505]"
"[0.8923612236976624, -0.5614184737205505]"
"[0.8924527764320374, -0.5628223419189453]"
"[0.8926053643226624, -0.5693838596343994]"
"[0.8887600302696228, -0.5779900550842285]"
"[0.8883633017539978, -0.5820795297622681]"
"[0.8855250477790833, -0.5822321176528931]"
"[0.8568987250328064, -0.5587328672409058]"
"[0.26776939630508423, -0.23685415089130402]"
"[0.13837091624736786, -0.10156559944152832]"
"[0.0, -0.0009155552834272385]"
"[0.0, 0.10901211947202682]"
"[0.1266518086194992, 0.4522537887096405]"
"[0.22376170754432678, 0.6013062000274658]"
"[0.3096713125705719, 0.8917203545570374]"
"[0.34623250365257263, 1.000030517578125]"
"[0.3582567870616913, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.36176639795303345, 1.000030517578125]"
"[0.3497726321220398, 1.000030517578125]"
"[0.3025299906730652, 0.8810388445854187]"
"[0.23639637231826782, 0.37839898467063904]"
"[0.13180944323539734, 0.08185064047574997]"
"[0.0, 0.01507614366710186]"
"[0.0, -0.010437330231070518]"
"[0.0, -0.01809747703373432]"
"[0.0, -0.025818658992648125]"
